20191014 11:22 started
20191014 18:00 stoped
20191015 00:18 started
20191015 18:00 stoped
20191016 00:18 started
20191016 15:48 MainWindow.py started
20191016 18:00 MainWindow.py stoped
20191016 18:30 ./Tool/MenTest/SQL_save.py started
20191017 07:00 MainWindow.py started
20191017 09:31 MainWindow.py started
20191017 09:36 MainWindow.py started
20191017 09:38 Tool/MenTest/SQL_save.py started
20191017 09:54 MainWindow.py started
20191017 09:55 Tool/MenTest/SQL_save.py started
20191017 10:09 MainWindow.py started
20191017 10:11 Tool/MenTest/SQL_save.py started
20191017 10:19 MainWindow.py started
20191017 10:20 SQL_save.py started
20191017 10:33 MainWindow.py started
20191017 10:33 SQL_save.py started
20191017 10:36 MainWindow.py started
20191017 10:36 SQL_save.py started
20191017 11:37 MainWindow.py started
20191017 18:00 MainWindow.py stoped
20191018 07:00 MainWindow.py started
20191018 09:17 MainWindow.py started
20191018 18:00 MainWindow.py stoped
20191018 18:30 SQL_save.py started
20191019 18:30 SQL_save.py started
20191019 18:30 MainWindow.py started
20191020 18:00 MainWindow.py stoped
20191021 16:05 MainWindow.py started
20191021 18:00 MainWindow.py stoped
20191021 18:30 SQL_save.py started
20191022 09:16 MainWindow.py started
20191022 09:19 MainWindow.py started
20191022 09:30 MainWindow.py started
20191022 09:32 MainWindow.py started
20191022 18:00 MainWindow.py stoped
20191022 18:30 SQL_save.py started
20191023 09:19 MainWindow.py started
20191023 09:22 MainWindow.py stoped
20191023 09:27 MainWindow.py started
20191023 09:46 MainWindow.py started
20191023 09:47 MainWindow.py started
20191023 18:00 MainWindow.py stoped
20191023 18:30 SQL_save.py started
20191024 07:00 MainWindow.py started
20191024 18:00 MainWindow.py stoped
20191024 18:30 SQL_save.py started
20191025 07:00 MainWindow.py started
20191025 18:00 MainWindow.py stoped
20191025 18:30 SQL_save.py started
20191026 07:00 MainWindow.py started
20191026 18:00 MainWindow.py stoped
20191026 18:30 SQL_save.py started
20191027 07:00 MainWindow.py started
20191027 18:00 MainWindow.py stoped
20191027 18:30 SQL_save.py started
20191028 07:00 MainWindow.py started
20191028 18:00 MainWindow.py stoped
20191028 18:30 SQL_save.py started
20191029 07:00 MainWindow.py started
20191029 18:00 MainWindow.py stoped
20191029 18:30 SQL_save.py started
20191030 07:00 MainWindow.py started
20191030 18:00 MainWindow.py stoped
20191030 18:30 SQL_save.py started
20191031 07:00 MainWindow.py started
20191031 18:00 MainWindow.py stoped
20191031 18:30 SQL_save.py started
2019111 07:00 MainWindow.py started
2019111 18:00 MainWindow.py stoped
2019111 18:30 SQL_save.py started
2019112 07:00 MainWindow.py started
2019112 18:00 MainWindow.py stoped
2019112 18:30 SQL_save.py started
2019113 07:00 MainWindow.py started
2019113 18:00 MainWindow.py stoped
2019113 18:30 SQL_save.py started
2019114 07:00 MainWindow.py started
2019114 18:00 MainWindow.py stoped
2019114 18:30 SQL_save.py started
2019115 07:00 MainWindow.py started
2019115 18:00 MainWindow.py stoped
2019115 18:30 SQL_save.py started
2019116 07:00 MainWindow.py started
2019116 18:00 MainWindow.py stoped
2019116 18:30 SQL_save.py started
2019117 07:00 MainWindow.py started
2019117 18:00 MainWindow.py stoped
2019117 18:30 SQL_save.py started
2019118 07:00 MainWindow.py started
2019118 18:00 MainWindow.py stoped
2019118 18:30 SQL_save.py started
2019119 07:00 MainWindow.py started
2019119 18:00 MainWindow.py stoped
2019119 18:30 SQL_save.py started
20191110 07:00 MainWindow.py started
20191110 18:00 MainWindow.py stoped
20191110 18:30 SQL_save.py started
20191111 07:00 MainWindow.py started
20191111 18:00 MainWindow.py stoped
20191111 18:30 SQL_save.py started
20191112 07:00 MainWindow.py started
20191112 18:00 MainWindow.py stoped
20191112 18:30 SQL_save.py started
20191113 07:00 MainWindow.py started
20191113 18:00 MainWindow.py stoped
20191113 18:30 SQL_save.py started
20191114 07:00 MainWindow.py started
20191114 18:00 MainWindow.py stoped
20191114 18:30 SQL_save.py started
20191115 07:00 MainWindow.py started
20191115 18:00 MainWindow.py stoped
20191115 18:30 SQL_save.py started
20191116 07:00 MainWindow.py started
20191116 18:00 MainWindow.py stoped
20191116 18:30 SQL_save.py started
20191117 07:00 MainWindow.py started
20191117 18:00 MainWindow.py stoped
20191117 18:30 SQL_save.py started
20191118 07:00 MainWindow.py started
20191118 16:05 MainWindow.py started
20191118 16:09 MainWindow.py started
20191118 16:14 MainWindow.py started
20191118 16:17 MainWindow.py started
20191118 16:20 MainWindow.py started
20191118 16:33 MainWindow.py started
20191118 18:00 MainWindow.py stoped
20191118 20:00 SQL_save.py started
20191119 07:00 MainWindow.py started
20191119 15:28 MainWindow.py started
20191119 15:35 MainWindow.py started
20191119 18:00 MainWindow.py stoped
20191119 19:58 MainWindow.py started
20191120 07:00 MainWindow.py started
20191120 09:49 MainWindow.py started
20191120 18:00 MainWindow.py stoped
20191120 20:00 SQL_save.py started
20191121 07:00 MainWindow.py started
